Name,Category_vod__c,Language_vod__c,Text_vod__c,External_ID_vod__c,Active_vod__c,Description_vod__c,Type_vod__c
GAS_ATT,Account,en_US,Add To Territory,,TRUE,String used by Global Account Search,Label_vod
GAS_CANCEL,Account,en_US,Cancel,,TRUE,String used by Global Account Search,Label_vod
GAS_CLEAR,Account,en_US,Clear,,TRUE,String used by Global Account Search,Label_vod
GAS_CONTAINS,Account,en_US,Contains,,TRUE,String used by Global Account Search,Label_vod
GAS_EM,Account,en_US,Exact Match,,TRUE,String used by Global Account Search,Label_vod
GAS_INTERR,Account,en_US,The customer is already in your territory.  No changes made.,,TRUE,String used by Global Account Search,Label_vod
GAS_LOOKUP,Account,en_US,Lookup,,TRUE,String used by Global Account Search,Label_vod
GAS_MANYALGN,Account,en_US,You are currently aligned in more than one territory,,TRUE,String used by Global Account Search,Label_vod
GAS_NAMESEARCH,Account,en_US,You may not search on both Name and First/Last Name,,TRUE,String used by Global Account Search,Label_vod
GAS_NOCRIT,Account,en_US,No search criteria entered,,TRUE,String used by Global Account Search,Label_vod
GAS_NOMATCH,Account,en_US,No matching records found.  Please modify your search criteria.,,TRUE,String used by Global Account Search,Label_vod
GAS_NONE,Account,en_US,-None-,,TRUE,String used by Global Account Search,Label_vod
GAS_NOTALGN,Account,en_US,You are currently not aligned in any territories,,TRUE,String used by Global Account Search,Label_vod
GAS_RESULTS,Account,en_US,Results,,TRUE,String used by Global Account Search,Label_vod
GAS_SEARCH,Account,en_US,Search,,TRUE,String used by Global Account Search,Label_vod
GAS_SELECT,Account,en_US,Select,,TRUE,String used by Global Account Search,Label_vod
GAS_SFA,Account,en_US,Search For Account,,TRUE,String used by Global Account Search,Label_vod
GAS_SFPA,Account,en_US,Search For Parent Account,,TRUE,String used by Global Account Search,Label_vod
GAS_SUCCESS,Account,en_US,The customer has been successfully added to your territory,,TRUE,String used by Global Account Search,Label_vod
GAS_SW,Account,en_US,Starts With,,TRUE,String used by Global Account Search,Label_vod
GAS_TOOMANY,Account,en_US,More than 20 records found.  Please narrow your search criteria.,,TRUE,String used by Global Account Search,Label_vod
